"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"3763",4752,"800 block of Center Street North","Birmingham","2016-09-29","http://www.gunviolencearchive.org/incident/666467",33.514,-86.8362,1,0
"3764",4761,"Grant Spur Road","Montgomery (county)","2016-09-29","http://www.gunviolencearchive.org/incident/665756",32.1778,-86.2894,1,0
"3765",4763,"1190 University Boulevard","Tuscaloosa","2016-09-29","http://www.gunviolencearchive.org/incident/665769",33.2109,-87.5533,0,0
"3766",4774,"100 block of Holley Avenue","Birmingham","2016-09-29","http://www.gunviolencearchive.org/incident/666348",33.5359,-86.8995,2,0
"3767",4929,"600 block of South Noble Street","Anniston","2016-09-30","http://www.gunviolencearchive.org/incident/668101",33.6395,-85.8286,0,1
"3768",4933,"200 block of Cook Street","Enterprise","2016-09-30","http://www.gunviolencearchive.org/incident/668113",31.311,-85.8417,0,0
"3769",4934,"5501 Old Montgomery Highway","Tuscaloosa","2016-09-30","http://www.gunviolencearchive.org/incident/666351",NA,NA,0,1
"3770",233,"","Dothan","2016-08-02","http://www.gunviolencearchive.org/incident/623679",31.1814,-85.3962,0,0
"3771",263,"Honea Lane","Owens Cross Roads","2016-08-02","http://www.gunviolencearchive.org/incident/620320",34.5959,-86.4155,1,0
"3772",264,"79th Place South","Birmingham","2016-08-02","http://www.gunviolencearchive.org/incident/620328",33.5595,-86.7132,1,0
"3773",321,"Fulmar Dr and Elder St","Birmingham (Irondale)","2016-08-02","http://www.gunviolencearchive.org/incident/620326",33.5164,-86.7147,1,0
"3774",533,"Jarman Trail","Leighton","2016-08-04","http://www.gunviolencearchive.org/incident/624201",34.7009,-87.5289,0,0
"3775",537,"1232 Second Street Southwest","Decatur","2016-08-04","http://www.gunviolencearchive.org/incident/621820",34.6007,-87.0051,1,0
"3776",538,"Danville Road and 8th Street","Decatur","2016-08-04","http://www.gunviolencearchive.org/incident/649947",34.5895,-86.9994,0,0
"3777",551,"1801 Boll Weevil Circle","Enterprise","2016-08-04","http://www.gunviolencearchive.org/incident/632401",31.3346,-85.8583,0,0
"3778",601,"300 block of 51st Street East","Tuscaloosa","2016-08-04","http://www.gunviolencearchive.org/incident/621505",33.1617,-87.5236,1,0
"3779",639,"1100 block of Hall Avenue","Bessemer","2016-08-04","http://www.gunviolencearchive.org/incident/622064",33.3919,-86.9571,1,0
"3780",789,"","Birmingham","2016-08-05","http://www.gunviolencearchive.org/incident/623698",33.5186,-86.8084,1,0
"3781",866,"Beverly Dr","Birmingham (Mountain Brook)","2016-08-05","http://www.gunviolencearchive.org/incident/623700",33.49,-86.7722,0,0
"3782",950,"600 block of Goldsby Street","Selma","2016-08-06","http://www.gunviolencearchive.org/incident/624344",32.4051,-86.9989,2,0
"3783",1136,"3095 Wenonah Park Drive","Birmingham","2016-08-07","http://www.gunviolencearchive.org/incident/625309",33.4463,-86.8855,0,1
"3784",1419,"Ford Avenue","Birmingham (Tarrant)","2016-08-08","http://www.gunviolencearchive.org/incident/626906",33.5822,-86.7686,0,0
"3785",1463,"3300 Stadium Drive","Phenix City","2016-08-09","http://www.gunviolencearchive.org/incident/625350",32.4855,-85.0227,0,2
"3786",1494,"200 Coolidge Ctwy.","Birmingham","2016-08-09","http://www.gunviolencearchive.org/incident/625302",33.4952,-86.8356,2,0
"3787",1507,"1900 block of Colonial Cove","Birmingham","2016-08-09","http://www.gunviolencearchive.org/incident/625523",33.6366,-86.6558,1,0
"3788",1527,"Ripley and Adams Street","Montgomery","2016-08-09","http://www.gunviolencearchive.org/incident/625731",32.3755,-86.298,0,0
"3789",1559,"600 block of Earline Circle","Birmingham","2016-08-09","http://www.gunviolencearchive.org/incident/625525",33.6224,-86.6739,0,1
"3790",1576,"20th Street and Third Avenue N.E.","Birmingham (Center Point)","2016-08-09","http://www.gunviolencearchive.org/incident/626805",33.5163,-86.8069,0,0
"3791",1627,"7000 block of Moores Mill Road","Huntsville","2016-08-10","http://www.gunviolencearchive.org/incident/626294",34.8272,-86.5243,1,1
"3792",1629,"1600 block of Maple Avenue","Birmingham","2016-08-10","http://www.gunviolencearchive.org/incident/626911",33.6162,-86.7108,1,0
"3793",1698,"4222 East University Blvd","Tuscaloosa","2016-08-10","http://www.gunviolencearchive.org/incident/626444",33.1975,-87.4796,1,0
