"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"10044",4737,"83rd Street South and Vassar Avenue ","Birmingham","2014-10-30","http://www.gunviolencearchive.org/incident/215298",NA,NA,1,0
"10045",4766,"4300 block of Mobile Highway ","Montgomery","2014-10-30","http://www.gunviolencearchive.org/incident/215643",NA,NA,1,0
"10046",4770,"3500 block of Ventura Road","Huntsville","2014-10-30","http://www.gunviolencearchive.org/incident/215568",NA,NA,1,0
"10047",4774,"2200 block of Jonathan Drive ","Huntsville","2014-10-30","http://www.gunviolencearchive.org/incident/215559",NA,NA,0,0
"10048",4803,"Clopton Street ","Huntsville","2014-10-31","http://www.gunviolencearchive.org/incident/215571",NA,NA,1,0
"10049",4837,"100 block of 5th Avenue Southwest ","Birmingham","2014-10-31","http://www.gunviolencearchive.org/incident/225403",NA,NA,0,1
"10050",4891,"63 Second Ave SW","Graysville","2014-10-31","http://www.gunviolencearchive.org/incident/215279",NA,NA,0,0
"10051",67,"","Huntsville","2014-11-01","http://www.gunviolencearchive.org/incident/215579",NA,NA,0,0
"10052",166,"5400 block of Avenue I ","Birmingham","2014-11-02","http://www.gunviolencearchive.org/incident/215269",NA,NA,0,1
"10053",175,"201 AL-14","Marion","2014-11-02","http://www.gunviolencearchive.org/incident/215630",NA,NA,0,0
"10054",224,"1407 South 11th St. ","Gadsden","2014-11-02","http://www.gunviolencearchive.org/incident/215343",NA,NA,0,0
"10055",249,"900 block of King Street ","Selma","2014-11-02","http://www.gunviolencearchive.org/incident/215641",NA,NA,1,0
"10056",272,"5900 Messer Airport Hwy","Birmingham","2014-11-03","http://www.gunviolencearchive.org/incident/217808",NA,NA,0,0
"10057",336,"Martin Road","Blountsville","2014-11-03","http://www.gunviolencearchive.org/incident/215267",NA,NA,0,1
"10058",361,"1804 24th Street SW","Birmingham","2014-11-03","http://www.gunviolencearchive.org/incident/217735",NA,NA,0,1
"10059",384,"First Avenue","Mobile","2014-11-04","http://www.gunviolencearchive.org/incident/217782",NA,NA,1,0
"10060",411,"1301 Virginia Street","Mobile","2014-11-04","http://www.gunviolencearchive.org/incident/217772",NA,NA,0,0
"10061",472,"1st Ave","Mobile (Prichard)","2014-11-04","http://www.gunviolencearchive.org/incident/215661",NA,NA,1,0
"10062",502,"2867 Pelham Pkwy","Pelham","2014-11-04","http://www.gunviolencearchive.org/incident/215632",NA,NA,0,0
"10063",540,"5700 block of Calmar Drive ","Montgomery","2014-11-05","http://www.gunviolencearchive.org/incident/217769",NA,NA,0,1
"10064",543,"","Birmingham","2014-11-05","http://www.gunviolencearchive.org/incident/217761",NA,NA,0,0
"10065",547,"1900 block of 15th Avenue ","Northport","2014-11-05","http://www.gunviolencearchive.org/incident/217738",NA,NA,1,0
"10066",571,"3213 Airport Blvd","Mobile","2014-11-05","http://www.gunviolencearchive.org/incident/217780",NA,NA,0,0
"10067",692,"6175 Girby Rd","Mobile","2014-11-06","http://www.gunviolencearchive.org/incident/217752",NA,NA,0,0
"10068",694,"AL- 71","Bryant","2014-11-06","http://www.gunviolencearchive.org/incident/217724",NA,NA,0,1
"10069",732,"Wellman Avenue","Huntsville","2014-11-06","http://www.gunviolencearchive.org/incident/217745",NA,NA,0,0
"10070",736,"1400 block of Shuttlesworth Drive ","Birmingham","2014-11-06","http://www.gunviolencearchive.org/incident/217742",NA,NA,1,0
"10071",757,"Lincoya Drive and Windemere Drive","Huntsville","2014-11-06","http://www.gunviolencearchive.org/incident/217747",NA,NA,1,0
"10072",852,"Holmes Avenue and Triana Boulevard","Huntsville","2014-11-07","http://www.gunviolencearchive.org/incident/217750",NA,NA,1,0
"10073",854,"5700 block of Atlanta Highway","Montgomery","2014-11-07","http://www.gunviolencearchive.org/incident/217732",NA,NA,0,0
"10074",939,"","Dallas County","2014-11-08","http://www.gunviolencearchive.org/incident/220408",NA,NA,0,1
"10075",1082,"6500 block of Davison Road ","Jefferson County","2014-11-08","http://www.gunviolencearchive.org/incident/217764",NA,NA,1,0
"10076",1148,"200 block of 17th Street North ","Birmingham","2014-11-09","http://www.gunviolencearchive.org/incident/220328",NA,NA,1,1
"10077",1151,"3700 block of Governors Drive ","Huntsville","2014-11-09","http://www.gunviolencearchive.org/incident/217729",NA,NA,2,0
"10078",1231,"5700 block on Lott Road","Mobile","2014-11-09","http://www.gunviolencearchive.org/incident/220411",NA,NA,1,0
"10079",1248,"400 block of New Market Road","Madison County","2014-11-09","http://www.gunviolencearchive.org/incident/220454",NA,NA,2,0
"10080",1252,"Georgetown Wilmer Road ","Wilmer","2014-11-09","http://www.gunviolencearchive.org/incident/220432",NA,NA,1,0
"10081",1344,"3600 block of Batton Road ","Mccalla","2014-11-10","http://www.gunviolencearchive.org/incident/220386",NA,NA,0,1
"10082",1365,"Batton Road ","Mccalla","2014-11-10","http://www.gunviolencearchive.org/incident/220399",NA,NA,0,0
"10083",1407,"2300 block of 16th ","Birmingham","2014-11-11","http://www.gunviolencearchive.org/incident/220359",NA,NA,1,0
"10084",1411,"St. Stephens Road ","Prichard","2014-11-11","http://www.gunviolencearchive.org/incident/220343",NA,NA,0,1
"10085",1475,"157-167 Nisbet Lake Road","Jacksonville","2014-11-11","http://www.gunviolencearchive.org/incident/219962",NA,NA,0,1
"10086",1540,"Troy Highway","Troy","2014-11-11","http://www.gunviolencearchive.org/incident/219949",NA,NA,0,1
"10087",1551,"1000 block of West South Boulevard ","Montgomery","2014-11-12","http://www.gunviolencearchive.org/incident/222143",NA,NA,1,0
"10088",1579,"1300 block of 37th Street","Tuscaloosa","2014-11-12","http://www.gunviolencearchive.org/incident/219960",NA,NA,1,0
"10089",1658,"Shelton Road","Madison","2014-11-12","http://www.gunviolencearchive.org/incident/220445",NA,NA,0,1
"10090",1739,"300 block of South Appletree Street ","Dothan","2014-11-13","http://www.gunviolencearchive.org/incident/222132",NA,NA,3,0
"10091",1808,"","Hartford","2014-11-14","http://www.gunviolencearchive.org/incident/224849",NA,NA,1,0
"10092",1811,"","Montgomery","2014-11-14","http://www.gunviolencearchive.org/incident/223656",NA,NA,0,1
"10093",1868,"500 of West Bunch Street ","Dothan","2014-11-14","http://www.gunviolencearchive.org/incident/223753",NA,NA,0,1
"10094",1887,"557 Azalea Road ","Mobile","2014-11-14","http://www.gunviolencearchive.org/incident/222543",NA,NA,0,0
"10095",1905,"Lott Street at Virginia Street","Mobile","2014-11-15","http://www.gunviolencearchive.org/incident/222545",NA,NA,1,0
"10096",1922,"2500 block of Green St","Mobile","2014-11-15","http://www.gunviolencearchive.org/incident/222552",NA,NA,1,0
"10097",1926,"300 block of Tuttle Avenue","Mobile","2014-11-15","http://www.gunviolencearchive.org/incident/222548",NA,NA,1,0
"10098",1935,"Rich Avenue and Hanes Street ","Prichard","2014-11-15","http://www.gunviolencearchive.org/incident/225396",NA,NA,0,1
"10099",1951,"Sutton Bridge Road ","Rainbow City","2014-11-15","http://www.gunviolencearchive.org/incident/222137",NA,NA,1,0
"10100",2135,"9829 Wall Traina Highway","Madison County","2014-11-16","http://www.gunviolencearchive.org/incident/222126",NA,NA,1,0
"10101",2312,"400 N Edwards St","Enterprise","2014-11-17","http://www.gunviolencearchive.org/incident/223653",NA,NA,0,0
"10102",2332,"11000 block of Graymont Boulevard","Moundville","2014-11-18","http://www.gunviolencearchive.org/incident/222993",NA,NA,1,0
"10103",2378,"400 block of Front Street","Bon Air","2014-11-18","http://www.gunviolencearchive.org/incident/223662",NA,NA,1,0
"10104",2426,"3425 St Stephens Road ","Prichard","2014-11-18","http://www.gunviolencearchive.org/incident/225386",NA,NA,0,1
"10105",2537,"6725 Avenue C","Fairfield","2014-11-19","http://www.gunviolencearchive.org/incident/223756",NA,NA,0,1
"10106",2547,"Lauderdale County Road 281 ","Lauderdale County","2014-11-20","http://www.gunviolencearchive.org/incident/223769",NA,NA,0,0
"10107",2548,"800 block of Avenue E","Gadsden","2014-11-20","http://www.gunviolencearchive.org/incident/223760",NA,NA,1,0
"10108",2596,"","Birmingham","2014-11-20","http://www.gunviolencearchive.org/incident/223658",NA,NA,1,0
"10109",2598,"5900 Messer Airport Hwy","Birmingham","2014-11-20","http://www.gunviolencearchive.org/incident/224534",NA,NA,0,0
"10110",2646,"600 block of Kelsoe Road ","Blount County","2014-11-20","http://www.gunviolencearchive.org/incident/223665",NA,NA,0,1
"10111",2650,"1800 block of Laurel Avenue Southwest","Birmingham","2014-11-20","http://www.gunviolencearchive.org/incident/223660",NA,NA,0,1
"10112",2706,"3000 block of Exeter Alley","Bessemer","2014-11-21","http://www.gunviolencearchive.org/incident/224513",NA,NA,1,0
"10113",2723,"30th Street South and 3rd Avenue South ","Birmingham","2014-11-21","http://www.gunviolencearchive.org/incident/225521",NA,NA,2,0
"10114",2727,"3600 block of Bragg Street","Huntsville","2014-11-21","http://www.gunviolencearchive.org/incident/225368",NA,NA,0,0
"10115",2792,"200 block of Chester Avenue","Opelika","2014-11-22","http://www.gunviolencearchive.org/incident/271601",NA,NA,0,0
"10116",2799,"5103 Myron Massey Blvd","Fairfield","2014-11-22","http://www.gunviolencearchive.org/incident/225400",NA,NA,1,0
"10117",2827,"Rosier Lane ","Butler County","2014-11-22","http://www.gunviolencearchive.org/incident/225364",NA,NA,0,2
"10118",2859,"2600 block of 21st Street ","Tuscaloosa","2014-11-22","http://www.gunviolencearchive.org/incident/224721",NA,NA,1,0
"10119",2911,"2400 block of Vining Avenue Northwest","Huntsville","2014-11-23","http://www.gunviolencearchive.org/incident/225374",NA,NA,1,0
"10120",2935,"4900 block of Pinson Valley Parkway","Birmingham","2014-11-23","http://www.gunviolencearchive.org/incident/227532",NA,NA,1,0
"10121",2955,"100 block of County Road 156","Ralph","2014-11-23","http://www.gunviolencearchive.org/incident/225528",NA,NA,1,0
"10122",2985,"83rd Street South and 4th Avenue South","Birmingham","2014-11-23","http://www.gunviolencearchive.org/incident/225378",NA,NA,1,0
"10123",3075,"500 block of Percy Drive","Montgomery","2014-11-24","http://www.gunviolencearchive.org/incident/225512",NA,NA,0,2
"10124",3081,"3300 block of Valley Forge Road","Decatur","2014-11-24","http://www.gunviolencearchive.org/incident/225380",NA,NA,0,0
"10125",3140,"2200 block of Euclid Road ","Huntsville","2014-11-25","http://www.gunviolencearchive.org/incident/225383",NA,NA,0,0
"10126",3320,"Laurelwood Lane","Huntsville","2014-11-26","http://www.gunviolencearchive.org/incident/225514",NA,NA,1,0
"10127",3411,"Milltown Circle","Stevenson","2014-11-27","http://www.gunviolencearchive.org/incident/226265",NA,NA,0,1
"10128",3415,"3900 block of Wood Drive ","Mobile","2014-11-27","http://www.gunviolencearchive.org/incident/226247",NA,NA,1,1
"10129",3469,"2400 block of Country Club Avenue ","Huntsville","2014-11-28","http://www.gunviolencearchive.org/incident/226257",NA,NA,0,0
"10130",3472,"Avenue N and 34th Street ","Birmingham","2014-11-28","http://www.gunviolencearchive.org/incident/226255",NA,NA,1,0
"10131",3490,"York Avenue","Opelika","2014-11-28","http://www.gunviolencearchive.org/incident/226526",NA,NA,0,0
"10132",3582,"Wimberly Street ","Greenville","2014-11-29","http://www.gunviolencearchive.org/incident/227556",NA,NA,0,1
"10133",3622,"9900 block of County Road 203 ","Lawrence County","2014-11-29","http://www.gunviolencearchive.org/incident/226262",NA,NA,1,0
"10134",3690,"5400 block of Atlanta Highway","Montgomery","2014-11-30","http://www.gunviolencearchive.org/incident/226251",NA,NA,1,0
"10135",3785,"400 block of Webster Road","Auburn","2014-11-30","http://www.gunviolencearchive.org/incident/260972",NA,NA,0,0
"10136",5,"Mulga Loop Road","Mulga","2018-02-24","http://www.gunviolencearchive.org/incident/1058831",NA,NA,0,1
"10137",9,"3425 St Stephens Rd","Mobile (Prichard)","2018-02-24","http://www.gunviolencearchive.org/incident/1057411",NA,NA,1,0
"10138",59,"7001 Crestwood Blvd","Birmingham","2018-02-25","http://www.gunviolencearchive.org/incident/1057412",NA,NA,1,0
"10139",62,"510 Highway 124","Red Bay","2018-02-25","http://www.gunviolencearchive.org/incident/1057409",NA,NA,0,0
"10140",87,"East Broad Street","Gadsden","2018-02-03","http://www.gunviolencearchive.org/incident/1042461",NA,NA,1,0
"10141",89,"2000 block of E South Boulevard","Montgomery","2018-02-03","http://www.gunviolencearchive.org/incident/1042463",NA,NA,0,1
"10142",105,"1100 block of Cottrell St","Mobile","2018-02-03","http://www.gunviolencearchive.org/incident/1043815",NA,NA,1,0
"10143",152,"2700 block of Zelda Rd","Montgomery","2018-02-24","http://www.gunviolencearchive.org/incident/1056530",NA,NA,0,0
"10144",266,"Kildare St","Huntsville","2018-02-25","http://www.gunviolencearchive.org/incident/1058149",NA,NA,0,0
"10145",285,"1800 block of Winona Ave","Montgomery","2018-02-04","http://www.gunviolencearchive.org/incident/1042597",NA,NA,0,1
"10146",286,"Knowles Rd and Summerwind Dr","Phenix City","2018-02-04","http://www.gunviolencearchive.org/incident/1043050",NA,NA,1,0
"10147",331,"2000 block of 28th Street","Birmingham (Ensley)","2018-02-03","http://www.gunviolencearchive.org/incident/1042459",NA,NA,0,1
"10148",521,"100 block of Pleasant Hill Cutoff Rd","Boaz","2018-02-06","http://www.gunviolencearchive.org/incident/1043805",NA,NA,1,0
"10149",556,"4600 block of Ray Pl","Bessemer","2018-02-26","http://www.gunviolencearchive.org/incident/1058201",NA,NA,1,0
"10150",577,"300 block of East 4th St","Atmore","2018-02-27","http://www.gunviolencearchive.org/incident/1059061",NA,NA,1,0
"10151",579,"11th Ave N","Alexander City","2018-02-27","http://www.gunviolencearchive.org/incident/1059058",NA,NA,1,0
"10152",580,"1600 block of Raven Dr","Mobile","2018-02-27","http://www.gunviolencearchive.org/incident/1058824",NA,NA,1,0
"10153",586,"2900 block of SJ Bennett Dr","Birmingham","2018-02-27","http://www.gunviolencearchive.org/incident/1058199",NA,NA,0,1
"10154",592,"2301 Center Point Pkwy","Birmingham","2018-02-27","http://www.gunviolencearchive.org/incident/1058619",NA,NA,0,0
"10155",637,"517 Huffman Rd","Birmingham","2018-02-26","http://www.gunviolencearchive.org/incident/1058151",NA,NA,0,0
"10156",638,"3100 block of Crawford Street","Montgomery","2018-02-26","http://www.gunviolencearchive.org/incident/1057431",NA,NA,0,1
"10157",657,"2000 block on Ave Z","Birmingham","2018-02-04","http://www.gunviolencearchive.org/incident/1043045",NA,NA,1,0
"10158",803,"5800 block of Eagle Circle","Montgomery","2018-02-06","http://www.gunviolencearchive.org/incident/1045091",NA,NA,3,0
"10159",913,"Lemon Street and Partridge Street","Mobile","2018-02-05","http://www.gunviolencearchive.org/incident/1045099",NA,NA,2,0
"10160",929,"100 Lauderdale CR 609","Florence","2018-02-07","http://www.gunviolencearchive.org/incident/1044795",NA,NA,3,0
"10161",1041,"100 block of Truett Drive","Montgomery","2018-02-05","http://www.gunviolencearchive.org/incident/1043047",NA,NA,1,0
"10162",1061,"Owens St","Mobile (Prichard)","2018-02-05","http://www.gunviolencearchive.org/incident/1044164",NA,NA,0,0
"10163",1062,"Jessie Street","Mobile","2018-02-05","http://www.gunviolencearchive.org/incident/1044801",NA,NA,1,0
"10164",1121,"1000 block of 4th St S","Phenix City","2018-02-07","http://www.gunviolencearchive.org/incident/1045481",NA,NA,0,1
"10165",1124,"4900 block of Farrell Ave","Fairfield","2018-02-06","http://www.gunviolencearchive.org/incident/1044753",NA,NA,0,1
"10166",1152,"1900 block of Arlington Avenue","Bessemer","2018-02-28","http://www.gunviolencearchive.org/incident/1060169",NA,NA,0,1
"10167",1154,"Cullman Avenue and 30th Street","Birmingham","2018-02-28","http://www.gunviolencearchive.org/incident/1060182",NA,NA,2,0
"10168",1156,"900 block of Clearview Street Southwest","Decatur","2018-02-28","http://www.gunviolencearchive.org/incident/1060188",NA,NA,0,2
"10169",1229,"16000 block of Wellhouse Dr","Athens","2018-02-26","http://www.gunviolencearchive.org/incident/1058196",NA,NA,0,0
"10170",1243,"2200 block of Maple Ave","Florence","2018-02-26","http://www.gunviolencearchive.org/incident/1058206",NA,NA,1,0
"10171",1273,"Stephens Street and Westcott Street","Montgomery","2018-02-07","http://www.gunviolencearchive.org/incident/1045087",NA,NA,1,0
"10172",1276,"Powell Drive","Huntsville","2018-02-07","http://www.gunviolencearchive.org/incident/1045108",NA,NA,1,0
"10173",1277,"4900 block of Brittan Street","Birmingham","2018-02-07","http://www.gunviolencearchive.org/incident/1045114",NA,NA,1,0
"10174",1432,"Hwy 9","Heflin","2018-02-07","http://www.gunviolencearchive.org/incident/1045111",NA,NA,1,0
"10175",1451,"","Talladega","2018-02-08","http://www.gunviolencearchive.org/incident/1045450",NA,NA,0,1
"10176",1455,"600 Edmon Ave","Opelika","2018-02-08","http://www.gunviolencearchive.org/incident/1047149",NA,NA,0,1
"10177",1506,"363 Azalea Road","Mobile","2018-02-08","http://www.gunviolencearchive.org/incident/1047909",NA,NA,0,0
"10178",1605,"8400 block of 9th Avenue South","Birmingham","2018-02-09","http://www.gunviolencearchive.org/incident/1046610",NA,NA,0,1
"10179",1623,"8400 block of 9th Ave S","Birmingham","2018-02-09","http://www.gunviolencearchive.org/incident/1046897",NA,NA,0,1
"10180",1624,"County Road 64 and County Road 13","Daphne","2018-02-09","http://www.gunviolencearchive.org/incident/1045879",NA,NA,0,1
"10181",1705,"9857 US Highway 29 N","Cusseta","2018-02-18","http://www.gunviolencearchive.org/incident/1052445",NA,NA,0,1
"10182",1744,"Sixth Avenue","Dothan","2018-02-10","http://www.gunviolencearchive.org/incident/1047199",NA,NA,1,0
"10183",1756,"100 block of 3rd Street","Docena","2018-02-10","http://www.gunviolencearchive.org/incident/1047146",NA,NA,2,0
"10184",1783,"235 E. James I. Harrison Jr. Parkway","Tuscaloosa","2018-02-09","http://www.gunviolencearchive.org/incident/1046607",NA,NA,0,1
"10185",1818,"100 block of Cecil St","Scottsboro","2018-02-11","http://www.gunviolencearchive.org/incident/1047914",NA,NA,1,0
"10186",1819,"1500 block of 12th Court North","Birmingham","2018-02-11","http://www.gunviolencearchive.org/incident/1047920",NA,NA,0,1
"10187",1837,"2815 Saint Stephens Rd","Mobile (Whistler)","2018-02-08","http://www.gunviolencearchive.org/incident/1045885",NA,NA,0,1
"10188",1865,"200 block of Brighton Ave","Bessemer (Brighton)","2018-02-09","http://www.gunviolencearchive.org/incident/1046410",NA,NA,0,0
"10189",1912,"","Cherokee (county)","2018-02-09","http://www.gunviolencearchive.org/incident/1045882",NA,NA,0,0
"10190",2034,"4400 block of Winchester Hills Way","Pinson","2018-02-11","http://www.gunviolencearchive.org/incident/1047923",NA,NA,0,1
"10191",2143,"Claybank Ave","Ozark","2018-02-19","http://www.gunviolencearchive.org/incident/1054683",NA,NA,1,0
"10192",2188,"Red Bud Street","Alexander City","2018-02-19","http://www.gunviolencearchive.org/incident/1053835",NA,NA,1,0
"10193",2227,"4000 block of Overlook Road","Birmingham","2018-02-07","http://www.gunviolencearchive.org/incident/1045555",NA,NA,1,0
"10194",2250,"200 block of 73rd Street North","Birmingham","2018-02-18","http://www.gunviolencearchive.org/incident/1052443",NA,NA,1,0
"10195",2421,"Hine Street","Athens","2018-02-19","http://www.gunviolencearchive.org/incident/1053195",NA,NA,1,0
"10196",2456,"","Mobile","2018-02-19","http://www.gunviolencearchive.org/incident/1053499",NA,NA,0,0
"10197",2466,"12th St and N 12th Ave","Birmingham","2018-02-12","http://www.gunviolencearchive.org/incident/1048774",NA,NA,0,2
"10198",2467,"725 Jefferson Ave","Bessemer","2018-02-12","http://www.gunviolencearchive.org/incident/1048780",NA,NA,0,1
"10199",2468,"1382 Bessemer Rd","Birmingham","2018-02-12","http://www.gunviolencearchive.org/incident/1048785",NA,NA,1,0
"10200",2469,"5001 Sugar Ray Dr","Birmingham","2018-02-12","http://www.gunviolencearchive.org/incident/1048788",NA,NA,2,0
"10201",2492,"1300 block of 33rd St SW","Birmingham","2018-02-19","http://www.gunviolencearchive.org/incident/1053539",NA,NA,1,0
"10202",2577,"Crawford Lane and Avondale Court","Mobile","2018-02-20","http://www.gunviolencearchive.org/incident/1053805",NA,NA,0,2
"10203",2578,"West Ridge Road","Mobile","2018-02-20","http://www.gunviolencearchive.org/incident/1053802",NA,NA,0,1
"10204",2579,"1259 Fearn Court","Mobile","2018-02-20","http://www.gunviolencearchive.org/incident/1053812",NA,NA,1,0
"10205",2581,"Elm Street","Anniston","2018-02-20","http://www.gunviolencearchive.org/incident/1053833",NA,NA,1,0
"10206",2646,"3100 block of Oliver Drive","Millbrook","2018-02-13","http://www.gunviolencearchive.org/incident/1048794",NA,NA,2,0
"10207",2662,"Pinhook Rd","Moulton","2018-02-20","http://www.gunviolencearchive.org/incident/1053272",NA,NA,0,1
"10208",2680,"402 E McCord Ave","Albertville","2018-02-20","http://www.gunviolencearchive.org/incident/1054016",NA,NA,0,0
"10209",2798,"1500 block of 11th Ave","Phenix City","2018-02-13","http://www.gunviolencearchive.org/incident/1049004",NA,NA,0,1
"10210",2810,"2600 block of Clarendon Ave","Bessemer","2018-02-20","http://www.gunviolencearchive.org/incident/1053501",NA,NA,1,0
"10211",2956,"Aurelia Street","Mobile","2018-02-14","http://www.gunviolencearchive.org/incident/1050038",NA,NA,1,0
"10212",2957,"5651 Renn St","Mobile","2018-02-14","http://www.gunviolencearchive.org/incident/1050053",NA,NA,0,1
"10213",2958,"100 block of Faucet Drive","Trafford","2018-02-14","http://www.gunviolencearchive.org/incident/1050055",NA,NA,1,0
"10214",2959,"Dewey Drive","Oxford","2018-02-14","http://www.gunviolencearchive.org/incident/1050057",NA,NA,0,0
"10215",2968,"Lundy Rd","Mobile","2018-02-14","http://www.gunviolencearchive.org/incident/1050045",NA,NA,2,0
"10216",3031,"174 Brock Rd","Gurley","2018-02-21","http://www.gunviolencearchive.org/incident/1054020",NA,NA,0,0
"10217",3040,"First Avenue South","Birmingham","2018-02-21","http://www.gunviolencearchive.org/incident/1054135",NA,NA,1,0
"10218",3104,"1600 block of Westcott Street","Montgomery","2018-02-21","http://www.gunviolencearchive.org/incident/1054359",NA,NA,2,1
"10219",3177,"3504 12th Ave E","Tuscaloosa","2018-02-15","http://www.gunviolencearchive.org/incident/1050759",NA,NA,0,0
"10220",3196,"7201 Aaron Aronov Dr","Fairfield","2018-02-15","http://www.gunviolencearchive.org/incident/1050253",NA,NA,0,1
"10221",3205,"1177 Mcmillan St E","Talladega","2018-02-15","http://www.gunviolencearchive.org/incident/1050036",NA,NA,0,0
"10222",3206,"24280 Patterson Road","Robertsdale","2018-02-15","http://www.gunviolencearchive.org/incident/1050050",NA,NA,0,2
"10223",3246,"900 block of Old Mill Rd","Auburn","2018-02-15","http://www.gunviolencearchive.org/incident/1050616",NA,NA,0,1
"10224",3282,"800 block of 4th Avenue West","Birmingham","2018-02-22","http://www.gunviolencearchive.org/incident/1055563",NA,NA,0,1
"10225",3291,"I-59 N","Fairfield","2018-02-15","http://www.gunviolencearchive.org/incident/1050256",NA,NA,1,0
"10226",3292,"2 Pirate Dr","Fairhope","2018-02-15","http://www.gunviolencearchive.org/incident/1050259",NA,NA,0,0
"10227",3322,"1st Street West","Birmingham","2018-02-22","http://www.gunviolencearchive.org/incident/1054841",NA,NA,1,0
"10228",3462,"","Vernon","2018-02-01","http://www.gunviolencearchive.org/incident/1041975",NA,NA,1,0
"10229",3467,"100 block of Clover Ln","Montgomery","2018-02-01","http://www.gunviolencearchive.org/incident/1041990",NA,NA,1,0
"10230",3480,"1300 block of 45th St","Birmingham (Ensley)","2018-02-01","http://www.gunviolencearchive.org/incident/1041331",NA,NA,1,0
"10231",3537,"Spring Creek Circle","Mobile","2018-02-01","http://www.gunviolencearchive.org/incident/1042603",NA,NA,0,0
"10232",3583,"6th Ave and 4th St","Birmingham","2018-02-16","http://www.gunviolencearchive.org/incident/1051850",NA,NA,0,0
"10233",3664,"4000 block of Smiley Circle","Montgomery","2018-02-23","http://www.gunviolencearchive.org/incident/1055565",NA,NA,1,0
"10234",3905,"1000 block of 46th St","Birmingham (Ensley)","2018-02-02","http://www.gunviolencearchive.org/incident/1041977",NA,NA,0,1
"10235",3989,"First Avenue and Main Street","Mobile","2018-02-17","http://www.gunviolencearchive.org/incident/1051949",NA,NA,3,0
"10236",3990,"","Calhoun (county)","2018-02-17","http://www.gunviolencearchive.org/incident/1051956",NA,NA,0,0
"10237",3991,"Highway 31","Birmingham (Hoover)","2018-02-17","http://www.gunviolencearchive.org/incident/1051958",NA,NA,0,0
"10238",4031,"1115 Ave F","Birmingham","2018-02-02","http://www.gunviolencearchive.org/incident/1041979",NA,NA,0,1
"10239",4056,"4000 block of Oliver Dr","Millbrook","2018-02-17","http://www.gunviolencearchive.org/incident/1053504",NA,NA,1,0
"10240",24,"100 block of Chester Avenue","Opelika","2018-03-30","http://www.gunviolencearchive.org/incident/1082082",NA,NA,0,1
"10241",39,"1627 Opelika Rd","Auburn","2018-03-09","http://www.gunviolencearchive.org/incident/1066350",NA,NA,2,0
"10242",132,"1910 St Stephens Road","Mobile","2018-03-10","http://www.gunviolencearchive.org/incident/1067183",NA,NA,1,0
"10243",151,"King Street","Ozark","2018-03-10","http://www.gunviolencearchive.org/incident/1067776",NA,NA,2,0
"10244",200,"3725 27th St N","Birmingham","2018-03-30","http://www.gunviolencearchive.org/incident/1081892",NA,NA,0,1
"10245",201,"1200 block of Amy Ct","Auburn","2018-03-30","http://www.gunviolencearchive.org/incident/1081416",NA,NA,0,0
"10246",255,"2300 block of South Park Dr","Birmingham","2018-03-23","http://www.gunviolencearchive.org/incident/1076974",NA,NA,0,1
"10247",256,"2700 block of 8th Ave S","Bessemer","2018-03-23","http://www.gunviolencearchive.org/incident/1076994",NA,NA,0,1
"10248",288,"4200 block of 21st Street","Tuscaloosa","2018-03-10","http://www.gunviolencearchive.org/incident/1067179",NA,NA,0,1
"10249",292,"","Cullman","2018-03-10","http://www.gunviolencearchive.org/incident/1067827",NA,NA,2,0
"10250",312,"","Mobile (Prichard)","2018-03-09","http://www.gunviolencearchive.org/incident/1067178",NA,NA,0,0
"10251",324,"5954 Sperry Rd","Theodore","2018-03-09","http://www.gunviolencearchive.org/incident/1066772",NA,NA,1,0
"10252",441,"1242 Beltline Rd SW","Decatur","2018-03-23","http://www.gunviolencearchive.org/incident/1077340",NA,NA,1,0
"10253",499,"6550 Zeigler Blvd","Mobile","2018-03-30","http://www.gunviolencearchive.org/incident/1082084",NA,NA,0,1
"10254",570,"3900 block of Woodley Road","Montgomery","2018-03-31","http://www.gunviolencearchive.org/incident/1082624",NA,NA,1,0
"10255",639,"1430 Fred L Shuttlesworth Dr","Birmingham","2018-03-31","http://www.gunviolencearchive.org/incident/1082079",NA,NA,0,1
"10256",689,"6th St","Birmingham","2018-03-26","http://www.gunviolencearchive.org/incident/1078698",NA,NA,1,0
"10257",690,"1500 block of Devonshire Dr","Mobile","2018-03-26","http://www.gunviolencearchive.org/incident/1078701",NA,NA,0,0
"10258",700,"600 block of Circle Heights","Bessemer","2018-03-24","http://www.gunviolencearchive.org/incident/1076982",NA,NA,2,0
"10259",719,"400 block of Blackshear Stree","Dothan","2018-03-25","http://www.gunviolencearchive.org/incident/1079526",NA,NA,2,0
"10260",742,"2120 Sparkman Dr NW","Huntsville","2018-03-12","http://www.gunviolencearchive.org/incident/1068710",NA,NA,1,1
"10261",744,"235 James I Harrison Jr Pkwy","Tuscaloosa","2018-03-12","http://www.gunviolencearchive.org/incident/1068734",NA,NA,1,0
"10262",838,"3500 block of Wilmington Rd","Birmingham","2018-03-12","http://www.gunviolencearchive.org/incident/1068999",NA,NA,1,0
"10263",894,"","Sheffield","2018-03-11","http://www.gunviolencearchive.org/incident/1067771",NA,NA,0,1
"10264",895,"Serigny Drive and Farnell Drive","Mobile","2018-03-11","http://www.gunviolencearchive.org/incident/1067783",NA,NA,1,0
